"Statistic Label","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Value of Sales","2021 December","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro Million","159.2"
"Value of Sales","2021 December","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro Million","397.3"
"Value of Sales","2021 December","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro Million","53.5"
"Value of Sales","2021 December","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro Million","159.3"
"Mean Sale Price","2021 January","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","405464"
"Mean Sale Price","2021 January","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","595564"
"Mean Sale Price","2021 January","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","692347"
"Mean Sale Price","2021 January","Dublin","New","Executions","Non-Household Buyer","Market","Euro","346811"
"Mean Sale Price","2021 January","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","383524"
"Mean Sale Price","2021 January","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","592524"
"Mean Sale Price","2021 January","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","361704"
"Mean Sale Price","2021 January","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","365884"
"Mean Sale Price","2021 February","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","446879"
"Mean Sale Price","2021 February","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","632084"
"Mean Sale Price","2021 February","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","895500"
"Mean Sale Price","2021 February","Dublin","New","Executions","Non-Household Buyer","Market","Euro","381790"
"Mean Sale Price","2021 February","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","380909"
"Mean Sale Price","2021 February","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","533726"
"Mean Sale Price","2021 February","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","400217"
"Mean Sale Price","2021 February","Dublin","Existing","Executions","Non-Household Buyer","Market","Euro","336311"
"Mean Sale Price","2021 March","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","479034"
"Mean Sale Price","2021 March","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","656292"
"Mean Sale Price","2021 March","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Euro","771989"
"Mean Sale Price","2021 March","Dublin","New","Executions","Non-Household Buyer","Market","Euro","434273"
"Mean Sale Price","2021 March","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Euro","379009"
"Mean Sale Price","2021 March","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Euro","526929"
"Mean Sale Price","2021 March","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Euro","363549"
